naji marshall,4278594
anthony davis,6583
demar derozan,3978
nikola vucevic,6478
patrick beverley,3964
zach lavine,3064440
alperen sengun,4871144
caris levert,2991043
cedi osman,3893016
darius garland,4396907
donovan mitchell,3908809
evan mobley,4432158
isaac okoro,4432822
jabari smith,4432639
jalen green,4437244
jarrett allen,4066328
kenyon martin jr.,4431828
kevin porter jr.,4397140
ricky rubio,4011
tari eason,4433192
al horford,3213
derrick white,3078576
devin vassell,4395630
jaylen brown,3917376
malcolm brogdon,2566769
marcus smart,2990992
tre jones,4395626
zach collins,4066650
clint capela,3102529
dejounte murray,3907497
desmond bane,4066320
dillon brooks,3155526
ja morant,4279888
jaren jackson jr.,4277961
john collins,3908845
luke kennard,3913174
santi aldama,4593125
trae young,4277905
tyus jones,3135046
xavier tillman,4277964
corey kispert,4280151
daniel gafford,4278049
delon wright,3064447
deni avdija,4683021
fred vanvleet,2991230
jakob poeltl,3134908
kristaps porzingis,3102531
og anunoby,3934719
pascal siakam,3149673
cameron johnson,3138196
cole anthony,4432809
dorian finney-smith,2578185
franz wagner,4566434
gary harris,2999547
jalen suggs,4432165
markelle fultz,4066636
mikal bridges,3147657
nicolas claxton,4278067
paolo banchero,4432573
spencer dinwiddie,2580782
wendell carter jr.,4277847
cam reddish,4395627
drew eubanks,3914285
isaiah joe,4395702
jabari walker,4432446
jalen williams,4593803
jaylin williams,4432823
josh giddey,4871145
keon johnson,4432192
luguentz dort,4397020
matisse thybulle,3907498
nassir little,4395652
ryan arcidiacono,2991047
shaedon sharpe,4914336
shai gilgeous-alexander,4278073
trendon watford,4431675
trendon watford,4431675
kevin knox,4278075
donte divincenzo,3934673
draymond green,6589
jaden mcdaniels,4431671
jonathan kuminga,4433247
jordan poole,4277956
kevon looney,3155535
klay thompson,6475
mike conley,3195
rudy gobert,3032976
stephen curry,3975
